Number of all non-redundant significant rules 183.
Number of added sets 16574. Number of frequency evaluations 25830.
Number of explicitely tested rules at most tests=49531
Since measure was ln(p), ln(p*tests)=valM+ln(tests)=-63.27.
The best rules: (gamma=lift, delta=leverage)
4 68 69 -> 126 fr=29 (0.0517), cf=0.763, gamma=12.592, delta=0.048, M=-8.021e+01
3 4 18 -> 127 fr=29 (0.0517), cf=0.725, gamma=11.962, delta=0.047, M=-7.757e+01
3 4 18 -> 126 fr=29 (0.0517), cf=0.725, gamma=11.962, delta=0.047, M=-7.757e+01
18 21 68 -> 127 fr=33 (0.0588), cf=0.500, gamma=8.250, delta=0.052, M=-7.598e+01
18 21 68 -> 126 fr=33 (0.0588), cf=0.500, gamma=8.250, delta=0.052, M=-7.598e+01
5 12 -> 15 fr=53 (0.0945), cf=0.639, gamma=4.593, delta=0.074, M=-7.565e+01
21 68 -> 127 fr=33 (0.0588), cf=0.493, gamma=8.127, delta=0.052, M=-7.530e+01
21 68 -> 126 fr=33 (0.0588), cf=0.493, gamma=8.127, delta=0.052, M=-7.530e+01
4 68 -> 127 fr=29 (0.0517), cf=0.690, gamma=11.393, delta=0.047, M=-7.519e+01
3 4 -> 127 fr=29 (0.0517), cf=0.690, gamma=11.393, delta=0.047, M=-7.519e+01
4 68 -> 126 fr=29 (0.0517), cf=0.690, gamma=11.393, delta=0.047, M=-7.519e+01
3 4 -> 126 fr=29 (0.0517), cf=0.690, gamma=11.393, delta=0.047, M=-7.519e+01
4 21 -> 127 fr=29 (0.0517), cf=0.674, gamma=11.128, delta=0.047, M=-7.408e+01
Totally 100 rules, when mincf=0.00 and threshold-M=-7.41e+01
Among 10 best rules 9 negative rules, avg(M)=-2.49e+02 stdev(M)=8.20e+01
  avg(cf)=1.000 stdev(cf)=0.000 avg(gamma)=1.491 stdev(gamma)=0.418
  avg(delta)=0.176 stdev(delta)=0.038 avg(fr)=361.3 stdev(fr)=65.7
Among 50 best rules 21 negative rules, avg(M)=-1.34e+02 stdev(M)=6.98e+01
  avg(cf)=0.904 stdev(cf)=0.113 avg(gamma)=7.867 stdev(gamma)=6.192
  avg(delta)=0.094 stdev(delta)=0.052 avg(fr)=173.9 stdev(fr)=162.5
Among 100 best rules 26 negative rules, avg(M)=-1.09e+02 stdev(M)=5.58e+01
  avg(cf)=0.824 stdev(cf)=0.159 avg(gamma)=8.866 stdev(gamma)=5.444
  avg(delta)=0.076 stdev(delta)=0.043 avg(fr)=119.7 stdev(fr)=140.2
